Average Packets per Flow,Average Bytes per Flow,Average Duration per Flow,Source IP Address Generation Speed,Percentage of Pair Flow,label
0.000187044,5.44E-05,0.003921565,353,0.004244745,1
0.000160323,0.000169111,3.09E-13,353,0.004244745,1
0.000801615,0.000482929,6.84E-16,353,0.004244745,1
0.000366453,7.79E-05,4.92E-16,353,0.004244745,1
0.000332098,0.000202679,0.003921565,353,0.004244745,1
0.000282474,0.00010055,1.87E-16,353,0.004244745,1
0.000286291,0.000223294,0.003921565,353,0.004244745,1
0.000152689,2.93E-05,1.12E-16,353,0.004244745,1
0.000141237,0.000172878,0.003921565,353,0.004244745,1
0.000725271,0.000170596,6.09E-16,353,0.004244745,1
0.000637475,0.000149773,0.003921566,353,0.004244745,1
0.000259571,0.000112102,2.27E-16,353,0.004244745,1
0.000251936,0.000178131,2.01E-16,353,0.004244745,1
0.000595486,9.70E-05,5.09E-16,353,0.004244745,1
0.000557314,0.000714563,6.33E-15,353,0.004244745,1
0.00027484,4.38E-05,2.26E-16,353,0.004244745,1
0.000347367,6.86E-05,0.003921565,353,0.004244745,1
0.000259571,3.53E-05,1.68E-16,353,0.004244745,1
0.00020613,9.67E-05,9.26E-09,353,0.004244745,1
0.000236667,3.81E-05,1.88E-16,353,0.004244745,1
0.00127495,0.000166453,1.02E-15,353,0.004244745,0
9.16E-05,1.76E-05,7.09E-17,353,0.004244745,0
0.0015078,0.000362278,0.003921566,353,0.004244745,0
0.001213875,0.001692477,2.13E-13,353,0.004244745,1
0.001565059,0.000697528,4.63E-09,353,0.004244745,1
9.16E-05,5.63E-05,8.06E-17,353,0.004244745,1
0.000171775,9.37E-05,0.003921568,353,0.004244745,1
0.00013742,6.31E-05,1.73E-16,353,0.004244745,1
0.000106882,9.39E-05,9.45E-17,353,0.004244745,1
0.000160323,2.01E-05,1.37E-16,353,0.004244745,1
0.000145054,6.66E-05,1.18E-16,353,0.004244745,1
0.000358818,5.30E-05,3.50E-16,353,0.004244745,1
