Window,Renyi Entropy10,Renyi Entropy50,Renyi Entropy100,Renyi Entropy200,Renyi Entropy500
1090,1.921928095,,,,
1100,0.970950594,1.887351814,1.930317481,,
1110,1.435520504,,,,
1120,0.721928095,,,,
1130,2.121928095,,,,
1140,1.156779649,,,,
1150,0.970950594,2.269980506,,,
1160,0.970950594,,,,
1170,0.881290899,,,,
1180,0.881290899,,,,
1190,1.570950594,,,,
1200,1.846439345,1.773568158,2.138976105,2.359019183,
1210,0.918295834,,,,
1220,1.360964047,,,,
1230,1.360964047,,,,
1240,0.970950594,,,,
1250,0.970950594,1.790232831,,,
1260,1.360964047,,,,
1270,1.846439345,,,,
1280,1.295461844,,,,
1290,1.295461844,,,,
1300,1.156779649,2.081541933,2.166147377,,
1310,0.970950594,,,,
1320,0.721928095,,,,
1330,1.295461844,,,,
1340,2.246439345,,,,
1350,1.570950594,2.050707863,,,
1360,0.881290899,,,,
1370,1.370950594,,,,
1380,0.881290899,,,,
1390,1.360964047,,,,
1400,2.121928095,2.206734158,2.371705656,2.41465951,
1410,1.156779649,,,,
1420,1.521928095,,,,
1430,1.521928095,,,,
1440,1.921928095,,,,
1450,1.521928095,2.319599503,,,
1460,0,,,,
1470,0.881290899,,,,
1480,1.370950594,,,,
1490,2.121928095,,,,
1500,1.485475297,1.839330832,2.213042206,,2.657974535
1510,1.760964047,,,,
1520,1.485475297,,,,
1530,1.295461844,,,,
1540,1.370950594,,,,
1550,1.721928095,2.37282219,,,
1560,1.360964047,,,,
1570,0,,,,
1580,1.846439345,,,,
1590,1.921928095,,,,
1600,1.521928095,2.557780939,2.760357304,2.774604285,
1610,0,,,,
1620,0.721928095,,,,
1630,1.370950594,,,,
1640,1.521928095,,,,
1650,1.370950594,1.899721832,,,
1660,0.970950594,,,,
1670,0.970950594,,,,
1680,1.370950594,,,,
1690,0.721928095,,,,
1700,0.721928095,1.839330832,2.094428582,,
1710,0.721928095,,,,
1720,1.485475297,,,,
1730,1.370950594,,,,
1740,1.295461844,,,,
1750,1.156779649,1.859236536,,,
1760,1.370950594,,,,
1770,1.485475297,,,,
1780,0.881290899,,,,
1790,0.970950594,,,,
1800,0.881290899,1.456765727,1.961364507,2.158048522,
1810,1.156779649,,,,
1820,0.721928095,,,,
1830,0.881290899,,,,
1840,1.570950594,,,,
1850,1,1.641526382,,,
1860,1.921928095,,,,
1870,1.370950594,,,,
1880,1.760964047,,,,
1890,1.360964047,,,,
1900,1.370950594,2.652878689,2.373815632,,
1910,0.970950594,,,,
1920,0.970950594,,,,
1930,0.970950594,,,,
1940,0.970950594,,,,
1950,1.156779649,1.346195099,,,
1960,1.721928095,,,,
1970,1.156779649,,,,
1980,0.970950594,,,,
1990,1.521928095,,,,
2000,0.881290899,1.994251374,1.904765915,2.320322781,2.611817031
2010,1.156779649,,,,
2020,1.156779649,,,,
2030,1.570950594,,,,
2040,1.921928095,,,,
2050,1.921928095,2.256639683,,,
2060,1.370950594,,,,
2070,0.721928095,,,,
2080,0,,,,
2090,0,,,,
2100,0,1.551737433,2.35690387,,
2110,0,,,,
2120,0,,,,
2130,0.970950594,,,,
2140,0,,,,
2150,0.721928095,0.529360865,,,
2160,0.970950594,,,,
2170,0.970950594,,,,
2180,0.970950594,,,,
2190,0.970950594,,,,
2200,0.721928095,0.942683189,0.795040279,1.748235991,
2210,1,,,,
2220,0.881290899,,,,
2230,0.970950594,,,,
2240,0.970950594,,,,
2250,1.370950594,1.571346433,,,
2260,1.521928095,,,,
2270,0.721928095,,,,
2280,0.970950594,,,,
2290,0.970950594,,,,
